ID	SF	passMVAID_iso_WP80	2018_ElectronMVA80.root	EGamma_SF2D	TH2F
Trigger SF              Ele23Leg1_MediumID_QPlus_v1    egammaEffi.txt_EGM2D_Ele23_Medium94XV2_QPlus_hsseo_v1.root      EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele23Leg1_MediumID_QPlus_v1    egammaEffi.txt_EGM2D_Ele23_Medium94XV2_QPlus_hsseo_v1.root      EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele23Leg1_MediumID_QPlus_v1    egammaEffi.txt_EGM2D_Ele23_Medium94XV2_QPlus_hsseo_v1.root      EGamma_EffMC2D          TH2F
Trigger SF              Ele23Leg1_MediumID_QMinus_v1   egammaEffi.txt_EGM2D_Ele23_Medium94XV2_QMinus_hsseo_v1.root     EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele23Leg1_MediumID_QMinus_v1   egammaEffi.txt_EGM2D_Ele23_Medium94XV2_QMinus_hsseo_v1.root     EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele23Leg1_MediumID_QMinus_v1   egammaEffi.txt_EGM2D_Ele23_Medium94XV2_QMinus_hsseo_v1.root     EGamma_EffMC2D          TH2F
Trigger SF              Ele12Leg2_MediumID_QPlus_v1    egammaEffi.txt_EGM2D_Ele12_Medium94XV2_QPlus_hsseo_v1.root      EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele12Leg2_MediumID_QPlus_v1    egammaEffi.txt_EGM2D_Ele12_Medium94XV2_QPlus_hsseo_v1.root      EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele12Leg2_MediumID_QPlus_v1    egammaEffi.txt_EGM2D_Ele12_Medium94XV2_QPlus_hsseo_v1.root      EGamma_EffMC2D          TH2F
Trigger SF              Ele12Leg2_MediumID_QMinus_v1   egammaEffi.txt_EGM2D_Ele12_Medium94XV2_QMinus_hsseo_v1.root     EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele12Leg2_MediumID_QMinus_v1   egammaEffi.txt_EGM2D_Ele12_Medium94XV2_QMinus_hsseo_v1.root     EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele12Leg2_MediumID_QMinus_v1   egammaEffi.txt_EGM2D_Ele12_Medium94XV2_QMinus_hsseo_v1.root     EGamma_EffMC2D          TH2F
### AFB TightID SelectiveCharge (hsseo v2)
ID  	SF		TightID_Selective_QPlus		egammaEffi.txt_EGM2D_TightID_Selective_QPlus_hsseo_v2.root	     EGamma_SF2D             TH2F
ID      Eff_DATA        TightID_Selective_QPlus    	egammaEffi.txt_EGM2D_TightID_Selective_QPlus_hsseo_v2.root   	     EGamma_EffData2D        TH2F
ID      Eff_MC          TightID_Selective_QPlus    	egammaEffi.txt_EGM2D_TightID_Selective_QPlus_hsseo_v2.root   	     EGamma_EffMC2D          TH2F
ID      SF              TightID_Selective_QMinus   	egammaEffi.txt_EGM2D_TightID_Selective_QMinus_hsseo_v2.root  	     EGamma_SF2D             TH2F
ID      Eff_DATA        TightID_Selective_QMinus   	egammaEffi.txt_EGM2D_TightID_Selective_QMinus_hsseo_v2.root  	     EGamma_EffData2D        TH2F
ID      Eff_MC          TightID_Selective_QMinus   	egammaEffi.txt_EGM2D_TightID_Selective_QMinus_hsseo_v2.root  	     EGamma_EffMC2D          TH2F
Trigger SF              Ele32_TightID_Selective_QPlus   egammaEffi.txt_EGM2D_Ele32_TightID_Selective_QPlus_hsseo_v2.root     EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele32_TightID_Selective_QPlus   egammaEffi.txt_EGM2D_Ele32_TightID_Selective_QPlus_hsseo_v2.root     EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele32_TightID_Selective_QPlus   egammaEffi.txt_EGM2D_Ele32_TightID_Selective_QPlus_hsseo_v2.root     EGamma_EffMC2D          TH2F
Trigger SF              Ele32_TightID_Selective_QMinus  egammaEffi.txt_EGM2D_Ele32_TightID_Selective_QMinus_hsseo_v2.root    EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele32_TightID_Selective_QMinus  egammaEffi.txt_EGM2D_Ele32_TightID_Selective_QMinus_hsseo_v2.root    EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele32_TightID_Selective_QMinus  egammaEffi.txt_EGM2D_Ele32_TightID_Selective_QMinus_hsseo_v2.root    EGamma_EffMC2D          TH2F
### AFB MediumID (hsseo v2)
ID      SF              MediumID_QPlus			egammaEffi.txt_EGM2D_MediumID_QPlus_hsseo_v2.root		EGamma_SF2D             TH2F
ID      Eff_DATA        MediumID_QPlus     		egammaEffi.txt_EGM2D_MediumID_QPlus_hsseo_v2.root    		EGamma_EffData2D        TH2F
ID      Eff_MC          MediumID_QPlus     		egammaEffi.txt_EGM2D_MediumID_QPlus_hsseo_v2.root    		EGamma_EffMC2D          TH2F
ID      SF              MediumID_QMinus    		egammaEffi.txt_EGM2D_MediumID_QMinus_hsseo_v2.root   		EGamma_SF2D             TH2F
ID      Eff_DATA        MediumID_QMinus    		egammaEffi.txt_EGM2D_MediumID_QMinus_hsseo_v2.root   		EGamma_EffData2D        TH2F
ID      Eff_MC          MediumID_QMinus    		egammaEffi.txt_EGM2D_MediumID_QMinus_hsseo_v2.root   		EGamma_EffMC2D          TH2F
Trigger SF              Ele32_MediumID_QPlus    	egammaEffi.txt_EGM2D_Ele32_MediumID_QPlus_hsseo_v2.root      	EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele32_MediumID_QPlus    	egammaEffi.txt_EGM2D_Ele32_MediumID_QPlus_hsseo_v2.root      	EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele32_MediumID_QPlus    	egammaEffi.txt_EGM2D_Ele32_MediumID_QPlus_hsseo_v2.root      	EGamma_EffMC2D          TH2F
Trigger SF              Ele32_MediumID_QMinus   	egammaEffi.txt_EGM2D_Ele32_MediumID_QMinus_hsseo_v2.root     	EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele32_MediumID_QMinus   	egammaEffi.txt_EGM2D_Ele32_MediumID_QMinus_hsseo_v2.root     	EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele32_MediumID_QMinus   	egammaEffi.txt_EGM2D_Ele32_MediumID_QMinus_hsseo_v2.root     	EGamma_EffMC2D          TH2F
Trigger SF              Ele23Leg1_MediumID_QPlus    	egammaEffi.txt_EGM2D_Ele23Leg1_MediumID_QPlus_hsseo_v2.root     EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele23Leg1_MediumID_QPlus    	egammaEffi.txt_EGM2D_Ele23Leg1_MediumID_QPlus_hsseo_v2.root  	EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele23Leg1_MediumID_QPlus    	egammaEffi.txt_EGM2D_Ele23Leg1_MediumID_QPlus_hsseo_v2.root     EGamma_EffMC2D          TH2F
Trigger SF              Ele23Leg1_MediumID_QMinus   	egammaEffi.txt_EGM2D_Ele23Leg1_MediumID_QMinus_hsseo_v2.root    EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele23Leg1_MediumID_QMinus   	egammaEffi.txt_EGM2D_Ele23Leg1_MediumID_QMinus_hsseo_v2.root    EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele23Leg1_MediumID_QMinus   	egammaEffi.txt_EGM2D_Ele23Leg1_MediumID_QMinus_hsseo_v2.root    EGamma_EffMC2D          TH2F
Trigger SF              Ele12Leg2_MediumID_QPlus    	egammaEffi.txt_EGM2D_Ele12Leg2_MediumID_QPlus_hsseo_v2.root     EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele12Leg2_MediumID_QPlus    	egammaEffi.txt_EGM2D_Ele12Leg2_MediumID_QPlus_hsseo_v2.root     EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele12Leg2_MediumID_QPlus    	egammaEffi.txt_EGM2D_Ele12Leg2_MediumID_QPlus_hsseo_v2.root     EGamma_EffMC2D          TH2F
Trigger SF              Ele12Leg2_MediumID_QMinus   	egammaEffi.txt_EGM2D_Ele12Leg2_MediumID_QMinus_hsseo_v2.root    EGamma_SF2D             TH2F
Trigger Eff_DATA        Ele12Leg2_MediumID_QMinus   	egammaEffi.txt_EGM2D_Ele12Leg2_MediumID_QMinus_hsseo_v2.root    EGamma_EffData2D        TH2F
Trigger Eff_MC          Ele12Leg2_MediumID_QMinus   	egammaEffi.txt_EGM2D_Ele12Leg2_MediumID_QMinus_hsseo_v2.root    EGamma_EffMC2D          TH2F
